               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12238,             0.03054,             0.04627,                   0,                   0,                   0,                   0,             0.10528,            0.029196,            0.048186,              0.0919,              0.0009,              0.0009
                   1,             0.11082,            0.031757,            0.044181,                   0,                   0,                   0,                   0,            0.091901,            0.027607,            0.045093,            0.082862,           0.0018624,           0.0018624
                   2,             0.10192,            0.031875,            0.042421,                   0,                   0,                   0,                   0,            0.076263,            0.028956,             0.04631,            0.073785,           0.0027852,           0.0027852
                   3,            0.092875,            0.030089,            0.040977,             0.02381,                   1,            0.026184,           0.0081015,            0.063706,            0.028631,            0.046857,            0.064668,           0.0036683,           0.0036683
                   4,            0.085719,            0.031403,            0.037524,                0.04,                   1,             0.30786,            0.049199,            0.074679,            0.023495,            0.051143,            0.055512,           0.0045119,           0.0045119
                   5,            0.081179,            0.029362,            0.036451,            0.018349,                   1,             0.11617,            0.019156,            0.086293,            0.020771,            0.047713,            0.046316,           0.0053159,           0.0053159
                   6,            0.082766,            0.027137,            0.033067,            0.012422,                   1,             0.14132,            0.025234,            0.071464,            0.021508,            0.043949,             0.03708,           0.0060803,           0.0060803
                   7,            0.079026,            0.029374,            0.031016,            0.012346,                   1,            0.094762,            0.028906,             0.06925,            0.022301,            0.040767,            0.027805,           0.0068051,           0.0068051
                   8,            0.076615,            0.026109,            0.028455,             0.81635,                 0.5,             0.66167,             0.24024,            0.071447,            0.021496,            0.040556,             0.01849,           0.0074902,           0.0074902
                   9,            0.076979,            0.022472,            0.026205,             0.22605,                   1,             0.24875,             0.08097,            0.096565,            0.015288,            0.035408,           0.0091358,           0.0081358,           0.0081358
                  10,            0.075765,            0.023362,            0.023806,             0.32609,                   1,               0.398,             0.14955,            0.082557,            0.016517,            0.035229,             0.00802,             0.00802,             0.00802
                  11,            0.074398,            0.021722,            0.021745,                   1,             0.89695,               0.995,              0.2911,             0.05713,            0.018388,            0.032204,             0.00802,             0.00802,             0.00802
                  12,            0.067952,            0.021364,            0.019474,             0.61568,                   1,             0.66333,             0.19609,            0.055455,            0.016727,            0.031126,            0.007822,            0.007822,            0.007822
                  13,            0.069926,            0.019263,            0.017708,             0.49898,             0.99694,              0.4975,             0.16017,             0.06506,            0.014906,            0.028413,            0.007624,            0.007624,            0.007624
                  14,             0.06908,            0.018673,            0.015357,             0.63399,                   1,             0.66333,             0.19818,             0.05614,            0.014954,            0.026975,            0.007426,            0.007426,            0.007426
                  15,            0.063149,            0.018845,            0.014014,             0.48983,                   1,              0.4975,             0.18727,            0.054221,            0.014439,            0.024923,            0.007228,            0.007228,            0.007228
                  16,            0.057952,              0.0176,             0.01343,                   1,             0.92831,               0.995,              0.4227,            0.055715,            0.013836,            0.024283,             0.00703,             0.00703,             0.00703
                  17,            0.060055,            0.016938,            0.011697,             0.48864,                   1,              0.4975,             0.23066,            0.052404,            0.013337,            0.023091,            0.006832,            0.006832,            0.006832
                  18,            0.057538,            0.016373,             0.01124,             0.47838,                   1,              0.4975,             0.19497,            0.049451,            0.012796,            0.022131,            0.006634,            0.006634,            0.006634
                  19,            0.055803,            0.015764,           0.0099006,             0.96124,                   1,               0.995,             0.34825,            0.049913,            0.011866,            0.021565,            0.006436,            0.006436,            0.006436
                  20,            0.055657,            0.015066,           0.0089956,             0.96563,                   1,               0.995,             0.24892,            0.059325,            0.010837,            0.020811,            0.006238,            0.006238,            0.006238
                  21,            0.053917,            0.014259,           0.0089878,             0.87899,                   1,               0.995,             0.44774,            0.040632,            0.011576,            0.018849,             0.00604,             0.00604,             0.00604
                  22,            0.053443,            0.015407,           0.0076746,             0.75126,                   1,               0.995,             0.49789,            0.037074,            0.011441,            0.018116,            0.005842,            0.005842,            0.005842
                  23,            0.052666,            0.014495,           0.0075625,             0.94427,                   1,               0.995,             0.64666,            0.031766,            0.011268,            0.016726,            0.005644,            0.005644,            0.005644
                  24,            0.049846,            0.013685,           0.0075536,             0.71364,                   1,               0.995,             0.52256,            0.032953,            0.010855,            0.015421,            0.005446,            0.005446,            0.005446
                  25,            0.047835,            0.014325,           0.0064819,             0.92379,                   1,               0.995,             0.64685,             0.03562,            0.010785,            0.013599,            0.005248,            0.005248,            0.005248
                  26,            0.047241,            0.014676,           0.0063227,             0.96819,                   1,               0.995,               0.597,            0.031471,            0.010831,             0.01255,             0.00505,             0.00505,             0.00505
                  27,            0.044383,            0.014724,           0.0058692,             0.97306,                   1,               0.995,             0.72166,            0.034179,            0.010382,            0.011683,            0.004852,            0.004852,            0.004852
                  28,            0.042752,            0.013706,           0.0058254,             0.96882,                   1,               0.995,             0.44812,            0.041054,             0.01019,            0.010739,            0.004654,            0.004654,            0.004654
                  29,             0.04258,            0.012815,           0.0046825,             0.97405,                   1,               0.995,              0.4975,            0.032763,            0.010142,           0.0096644,            0.004456,            0.004456,            0.004456
                  30,            0.040521,            0.014272,            0.004665,             0.95734,                   1,               0.995,             0.45583,            0.038739,           0.0098793,           0.0091201,            0.004258,            0.004258,            0.004258
                  31,            0.043138,            0.013554,           0.0044934,             0.97343,                   1,               0.995,             0.46433,            0.040349,           0.0096556,           0.0088345,             0.00406,             0.00406,             0.00406
                  32,            0.041636,            0.012598,           0.0050357,             0.97202,                   1,               0.995,             0.29991,            0.047854,           0.0096051,           0.0082475,            0.003862,            0.003862,            0.003862
                  33,            0.039788,            0.012706,           0.0045516,             0.97787,                   1,               0.995,             0.72183,             0.02733,            0.009428,           0.0070117,            0.003664,            0.003664,            0.003664
                  34,            0.039362,            0.013764,           0.0040522,             0.97767,                   1,               0.995,             0.72182,            0.024942,           0.0095117,           0.0064208,            0.003466,            0.003466,            0.003466
                  35,             0.03754,            0.013359,           0.0037349,             0.97503,                   1,               0.995,             0.51048,            0.031782,           0.0095513,           0.0059381,            0.003268,            0.003268,            0.003268
                  36,            0.037013,            0.012476,            0.003998,             0.97801,                   1,               0.995,             0.74716,            0.024282,           0.0094414,           0.0053467,             0.00307,             0.00307,             0.00307
                  37,            0.036967,            0.011751,           0.0031009,              0.9785,                   1,               0.995,               0.597,            0.026563,           0.0093846,           0.0044839,            0.002872,            0.002872,            0.002872
                  38,            0.036907,            0.011478,           0.0033084,             0.97863,                   1,               0.995,             0.64705,            0.023744,           0.0093333,            0.004161,            0.002674,            0.002674,            0.002674
                  39,            0.034143,            0.011119,           0.0030551,             0.97613,                   1,               0.995,               0.597,            0.033508,           0.0092657,           0.0039195,            0.002476,            0.002476,            0.002476
                  40,            0.033955,            0.011636,           0.0026703,             0.97868,                   1,               0.995,             0.84609,            0.027834,           0.0089966,           0.0038481,            0.002278,            0.002278,            0.002278
                  41,            0.032943,            0.011815,           0.0027704,             0.97868,                   1,               0.995,             0.84607,            0.025443,           0.0089012,           0.0035977,             0.00208,             0.00208,             0.00208
                  42,            0.033261,            0.011843,           0.0026779,             0.97969,                   1,               0.995,             0.84614,            0.027828,           0.0086597,           0.0035522,            0.001882,            0.001882,            0.001882
                  43,            0.033463,            0.011628,            0.002616,             0.97996,                   1,               0.995,               0.796,            0.022708,           0.0086151,            0.003387,            0.001684,            0.001684,            0.001684
                  44,            0.030149,            0.011726,           0.0025385,             0.98003,                   1,               0.995,             0.69713,            0.020777,           0.0085761,           0.0032786,            0.001486,            0.001486,            0.001486
                  45,            0.029781,            0.012253,            0.002488,             0.98003,                   1,               0.995,             0.84608,            0.022552,           0.0083191,           0.0031051,            0.001288,            0.001288,            0.001288
                  46,             0.03058,            0.012059,           0.0023134,             0.98057,                   1,               0.995,             0.89624,            0.021496,           0.0082062,           0.0029615,             0.00109,             0.00109,             0.00109
                  47,            0.028585,            0.011428,           0.0023275,             0.98079,                   1,               0.995,             0.84611,            0.020224,           0.0081767,           0.0029038,            0.000892,            0.000892,            0.000892
                  48,            0.029428,            0.011611,           0.0019608,             0.98065,                   1,               0.995,               0.796,            0.022016,           0.0082195,           0.0028993,            0.000694,            0.000694,            0.000694
                  49,            0.028578,            0.011441,           0.0022294,             0.98071,                   1,               0.995,             0.84608,            0.019172,           0.0080734,           0.0027745,            0.000496,            0.000496,            0.000496
